NodeB Id,Sector_ID,Lat,Long,Bore,Azimuth,CloseNeighbors,FirstTierNeighbors
101,101_A,31.9499781,35.8750143,40,40,"['141', '5968', '150', '5919', '5936', '106', '5954', '5945', '3501', '5962', '5922', '3535', '131', '5963', '5549', '114', '5943', '5542', '3521', '3553']","['5963_D', '5954_C', '106_B', '114_B', '5922_C', '3553_C', '5968_D', '131_A', '150_C', '5936_A']"
101,101_B,31.9499781,35.8750143,160,160,"['141', '5968', '150', '5919', '5936', '106', '5954', '5945', '3501', '5962', '5922', '3535', '131', '5963', '5549', '114', '5943', '5542', '3521', '3553']","['131_A', '5968_C', '5943_A', '141_B', '106_B', '3553_C', '5962_A', '5922_C', '131_B', '5936_C']"
101,101_C,31.9499781,35.8750143,300,300,"['141', '5968', '150', '5919', '5936', '106', '5954', '5945', '3501', '5962', '5922', '3535', '131', '5963', '5549', '114', '5943', '5542', '3521', '3553']","['5962_A', '150_C', '5963_D', '5962_C', '106_B', '3553_C', '5943_A', '141_B', '5954_C', '5922_C']"
102,102_A,31.9559534,35.8609978,80,80,"['159', '155', '105', '120', '109', '110', '117', '108', '119', '113', '104', '147', '112', '953', '129', '111', '5948', '131', '103', '949']","['155_A', '119_C', '119_D', '105_A', '113_C', '117_C', '131_C', '5948_A', '111_B', '108_B']"
102,102_B,31.9559534,35.8609978,150,150,"['159', '155', '105', '120', '109', '110', '117', '108', '119', '113', '104', '147', '112', '953', '129', '111', '5948', '131', '103', '949']","['131_C', '119_C', '119_D', '113_C', '117_C', '110_A', '5948_A', '953_B', '111_C', '119_B']"
102,102_C,31.9559534,35.8609978,345,345,"['159', '155', '105', '120', '109', '110', '117', '108', '119', '113', '104', '147', '112', '953', '129', '111', '5948', '131', '103', '949']","['155_A', '113_C', '119_C', '119_D', '105_A', '953_A', '159_A', '105_C', '155_C', '111_B']"
103,103_A,31.9633811,35.8569239,30,30,"['111', '104', '5519', '915', '2217', '108', '105', '949', '120', '155', '953', '159', '126', '5518', '2201', '930', '2213', '102', '919', '110']","['159_A', '104_A', '104_B', '155_C', '126_C', '2201_B', '2213_B', '111_A', '930_B', '108_C']"
103,103_B,31.9633811,35.8569239,0,0,"['111', '104', '5519', '915', '2217', '108', '105', '949', '120', '155', '953', '159', '126', '5518', '2201', '930', '2213', '102', '919', '110']","['159_A', '104_A', '104_B', '155_C', '126_C', '930_B', '2201_B', '108_C', '5519_B', '5518_C']"
103,103_C,31.9633811,35.8569239,95,95,"['111', '104', '5519', '915', '2217', '108', '105', '949', '120', '155', '953', '159', '126', '5518', '2201', '930', '2213', '102', '919', '110']","['159_A', '104_A', '104_B', '155_C', '111_A', '2213_B', '2201_B', '108_C', '949_A', '155_D']"
103,103_D,31.9633811,35.8569239,260,260,"['111', '104', '5519', '915', '2217', '108', '105', '949', '120', '155', '953', '159', '126', '5518', '2201', '930', '2213', '102', '919', '110']","['155_D', '108_C', '111_E', '102_C', '2201_B', '2213_B', '915_B', '111_D', '5518_C', '930_B']"
104,104_A,31.9607,35.857992,0,0,"['111', '103', '108', '105', '155', '120', '159', '5519', '953', '102', '949', '110', '915', '126', '2217', '117', '112', '147', '5518', '930']","['155_C', '949_A', '111_B', '147_C', '108_C', '111_A', '930_B', '126_C', '155_D', '103_C']"
104,104_B,31.9607,35.857992,0,0,"['111', '103', '108', '105', '155', '120', '159', '5519', '953', '102', '949', '110', '915', '126', '2217', '117', '112', '147', '5518', '930']","['155_C', '949_A', '111_B', '147_C', '108_C', '111_A', '930_B', '126_C', '155_D', '103_C']"
105,105_A,31.9581571,35.860505,120,120,"['155', '120', '102', '159', '108', '104', '111', '117', '110', '113', '147', '119', '109', '103', '953', '126', '112', '5519', '949', '129']","['953_A', '102_C', '111_B', '155_A', '113_C', '102_A', '108_B', '119_C', '119_D', '117_C']"
105,105_C,31.9581571,35.860505,270,270,"['155', '120', '102', '159', '108', '104', '111', '117', '110', '113', '147', '119', '109', '103', '953', '126', '112', '5519', '949', '129']","['102_C', '159_A', '155_C', '111_C', '155_D', '119_C', '119_D', '953_A', '112_A', '129_A']"
106,106_A,31.9551483,35.875584,100,100,"['150', '3501', '3535', '5542', '5549', '3521', '5548', '3512', '101', '3515', '141', '5547', '114', '3503', '5544', '3504', '5535', '3519', '5968', '107']","['150_D', '5968_D', '3503_B', '3519_C', '150_A', '101_A', '5549_A', '5968_A', '150_B', '5548_A']"
106,106_B,31.9551483,35.875584,180,180,"['150', '3501', '3535', '5542', '5549', '3521', '5548', '3512', '101', '3515', '141', '5547', '114', '3503', '5544', '3504', '5535', '3519', '5968', '107']","['150_D', '3503_B', '5968_D', '150_C', '101_A', '114_B', '3519_C', '101_C', '141_B', '5968_C']"
106,106_C,31.9551483,35.875584,280,280,"['150', '3501', '3535', '5542', '5549', '3521', '5548', '3512', '101', '3515', '141', '5547', '114', '3503', '5544', '3504', '5535', '3519', '5968', '107']","['3519_C', '150_D', '3503_B', '5542_B', '5968_D', '141_A', '114_B', '114_C', '114_A', '114_E']"
